Video ID,Playlist Video Creation Timestamp
069EaiaNenw,2022-04-10T07:48:09+00:00
8ext9G7xspg,2022-03-09T08:15:05+00:00
59EehXMpRVk,2021-12-12T09:18:19+00:00
XGf2GcyHPhc,2021-12-12T01:12:31+00:00
IUZTbEaDo0U,2021-12-07T15:57:44+00:00
wDIQ17T3sRk,2021-11-27T20:49:00+00:00
kng-mJJby8g,2021-11-24T21:31:31+00:00
XKHEtdqhLK8,2021-11-23T06:56:12+00:00
J3fAI3al08Q,2021-07-14T03:43:16+00:00
ihIpf6-b-VM,2021-07-14T03:42:49+00:00
5KmHWjzyVYw,2021-06-12T01:50:11+00:00
aYvTawk_TIs,2021-06-06T04:34:33+00:00
TSIbzfcnv_8,2021-05-10T19:22:54+00:00
A5V6xq6qOCY,2021-05-09T21:12:48+00:00
4-079YIasck,2021-05-08T20:48:07+00:00
VfdUn8KS1pM,2021-03-21T23:32:03+00:00
_Cz8-Rc6kjo,2021-03-13T19:29:25+00:00
MZSCXE4CpCA,2020-09-17T03:13:27+00:00
LTxz-w8Dsbk,2020-02-20T17:37:18+00:00
fSO5WRHGFyE,2020-02-20T17:36:42+00:00
4Ukh9aQBzWc,2020-02-07T15:48:35+00:00
3PST-xllceY,2020-02-02T02:40:21+00:00
SvGgcSztsjw,2019-12-26T03:05:48+00:00
yKIw3SuOU4c,2019-12-19T04:43:15+00:00
4gRpB6Z8aMw,2019-11-19T05:15:53+00:00
D8iwQgxtD_Y,2019-10-29T07:30:48+00:00
GbP43DPMknA,2019-10-27T15:09:21+00:00
53rgNqaa6Vc,2019-10-25T03:35:24+00:00
i3XfWCcWjgU,2019-10-03T06:42:18+00:00
Xw59gbpcjPE,2019-09-26T05:51:36+00:00
zlQIf3dtflM,2019-09-25T07:17:41+00:00
oibOBR3OyiE,2019-08-07T03:36:54+00:00
ooheGaSJYGY,2019-08-05T04:43:23+00:00
55CCj8HtsME,2019-07-18T21:07:31+00:00
LMFey9Atj2Y,2019-07-18T21:07:24+00:00
pzy289wmsKQ,2019-07-18T21:03:40+00:00
BGT9GldAdKE,2019-07-18T10:05:01+00:00
gq8KqdU4d4o,2019-07-18T02:49:15+00:00
evfPpskRpG0,2019-07-16T22:02:51+00:00
YqyJwg4JDEc,2019-07-16T21:53:20+00:00
TozDsW3Oz2E,2019-07-10T21:38:01+00:00
EEwRcSMfFV4,2019-07-10T21:37:26+00:00
bCMkhCV2HWE,2019-06-28T00:55:55+00:00
KnU-JQl_ReY,2019-06-26T07:15:57+00:00
eOnAvWc0au4,2019-06-24T01:44:41+00:00
SNHm1ut67WA,2019-06-14T09:50:52+00:00
3ew2m3m5f0M,2019-06-13T06:36:49+00:00
etsxCFblzqA,2019-05-13T04:10:42+00:00
JCay0uZX3kg,2019-04-20T18:22:57+00:00
70jgwPP11lI,2019-04-14T08:00:31+00:00
a1OeCybs56Y,2019-04-14T07:59:25+00:00
bkKosiVUYSk,2019-04-14T01:50:48+00:00
Cl_Dk-m5_HI,2019-04-08T04:11:24+00:00
PezUSeSC6N8,2019-04-07T07:49:56+00:00
z_5NCE_pe0Q,2019-04-05T02:23:11+00:00
SfpMceedYns,2019-04-04T05:18:43+00:00
_Ow0iblPAjg,2019-03-30T04:31:09+00:00
mztXKajNbXY,2019-03-27T02:41:17+00:00
TfMtNJfqz2U,2019-03-24T05:43:29+00:00
 -y13r_In4jc,2019-03-19T03:23:25+00:00
1_esjV1PwzE,2019-03-18T03:38:33+00:00
pXS8tEaz1zI,2019-03-11T06:37:26+00:00
zFd4g_lW_xE,2019-03-07T06:01:36+00:00
eHEyBG4pWuQ,2019-02-27T05:10:15+00:00
cpvMcm4cZNs,2019-02-27T05:08:58+00:00
Rh1su-yPPsw,2019-02-26T04:09:35+00:00
7e5SQL_xLN8,2019-02-21T00:07:33+00:00
viASLWJuHm4,2019-02-20T19:07:09+00:00
tMY5Cj39xN8,2019-02-19T04:14:54+00:00
oynTSB4eYOc,2019-02-19T00:43:40+00:00
uQvJPBcIvOc,2019-02-19T00:11:35+00:00
avPwB-T1p1M,2019-02-18T04:43:44+00:00
sK3sWlra4GQ,2019-02-18T03:57:55+00:00
0rq9qUlf3-0,2019-02-07T18:51:35+00:00
OV_GqJIt9kc,2019-02-07T13:16:32+00:00
RWzwNkLfrd8,2019-02-07T03:58:16+00:00
w33Io7uJytI,2019-01-31T02:26:11+00:00
iTumzZ4xdkU,2019-01-29T13:20:55+00:00
j7NGbdOrlVo,2019-01-28T05:25:24+00:00
Ln5xSAOJF-o,2019-01-27T04:46:41+00:00
9qV6qneSk_Q,2019-01-27T04:26:49+00:00
rVUTvvJyxFA,2019-01-16T03:29:42+00:00
zBs7tV_gjbc,2019-01-13T09:17:54+00:00
5rUstNCzVYU,2019-01-11T02:10:49+00:00
8O-24WJ6tQU,2019-01-07T06:14:39+00:00
GVrClGlKStw,2019-01-02T09:39:14+00:00
tQrYjDJ9sbU,2019-01-02T09:22:55+00:00
AzjO9vp9JEs,2018-12-23T08:14:40+00:00
NmRChkmL5cU,2018-12-22T06:10:51+00:00
aXo-7YFpau0,2018-12-11T06:33:12+00:00
jySPRAVoNMs,2018-12-10T18:58:24+00:00
uoVxteJr9hk,2018-11-22T00:21:26+00:00
wp1ZltRNdJs,2018-11-05T22:16:11+00:00
NkPXGcWg9wM,2018-11-05T14:08:13+00:00
64em0BJufYk,2018-11-05T12:41:43+00:00
qn-xBYUORRQ,2018-11-05T06:00:59+00:00
I5z7owAG-PA,2018-11-03T06:45:45+00:00
IxUK6FJnt04,2018-11-01T04:49:47+00:00
dURw_8j1EOs,2018-11-01T01:47:29+00:00
CV2L8grF4wk,2018-10-30T21:45:01+00:00
L6HDgmAOaWA,2018-10-30T00:02:31+00:00
VzrebN75Y3w,2018-10-24T04:47:55+00:00
neA1TK3625c,2018-10-23T06:59:23+00:00
pxgOEbjuqvI,2018-10-21T18:11:12+00:00
yMkJht0GxOs,2018-10-21T02:39:25+00:00
 -LWq9Npv6Ew,2018-10-20T19:03:40+00:00
yzSiZjJiDUU,2018-10-19T05:05:44+00:00
FBbYtHeRhnU,2018-10-19T05:05:16+00:00
WBQsqKk8KPs,2018-10-18T23:59:27+00:00
z9LR0VIoXj0,2018-10-08T00:32:16+00:00
SwCkU3h_yWc,2018-10-06T20:01:24+00:00
VbX8aLGoCNk,2018-09-22T17:41:16+00:00
xN4dBJZ0s0U,2018-08-28T03:46:02+00:00
WaHEEW1Gdis,2018-07-15T21:06:46+00:00
lft7AfeFIuQ,2018-07-09T05:55:09+00:00
7CISBtIVi3Y,2018-07-09T05:05:56+00:00
UFhCXHWIp2A,2018-07-08T19:01:04+00:00
QyCWe-SIW6M,2018-05-28T05:24:54+00:00
KcunV5Q5kJo,2018-05-19T16:24:57+00:00
yPy8ol_2DKQ,2018-05-02T05:50:18+00:00
4qv5L2GBUc4,2018-03-26T19:34:34+00:00





